datetime,rank,nat,sail,surname,name,lat_deg,lat,lon_deg,lon,last30min_heading_deg,last30min_speed_kts,last30min_VMG_kts,last30min_distance_nm,since_last_standings_heading_deg,since_last_standings_speed_kts,since_last_standings_VMG_kts,since_last_standings_distance_nm,last24hrs_heading_deg,last24hrs_speed_kts,last24hrs_VMG_kts,last24hrs_distance_nm,distance_to_finish_nm,distance_to_leader_nm
2025-01-14T10:00:00Z,2,FRA,FRA 24,Richomme,Yoann,47°17.18'N,47.28633499145508,04°04.98'W,-4.083000183105469,145,9.6,8.5,4.8,150,8.8,8,35.4,78,10.3,10.3,248.3,106,0
2025-01-14T10:00:00Z,3,FRA,FRA 112,Simon,Sébastien,42°57.47'N,42.95783233642578,19°31.68'W,-19.527999877929688,33,22.7,18.6,11.4,27,17.2,13.7,68.8,28,15,13.5,360.4,783.8,677.8
2025-01-14T10:00:00Z,4,FRA,FRA 3,Beyou,Jérémie,07°34.62'N,7.577000141143799,30°50.45'W,-30.84083366394043,356,18.5,16.3,9.3,352,17.7,15.1,70.9,347,13.8,11.4,330.6,2794.6,2688.6
2025-01-14T10:00:00Z,5,GBR,FRA 100,Goodchild,Sam,07°22.74'N,7.379000186920166,30°43.96'W,-30.732666015625,357,17.9,15.9,9,355,16.5,14.4,66.2,347,13.3,11,318.1,2802.7,2696.7
2025-01-14T10:00:00Z,6,FRA,FRA 2030,Meilhat,Paul,07°20.37'N,7.3394999504089355,30°59.07'W,-30.984500885009766,358,18.9,16.9,9.4,359,17.2,15.6,68.8,349,14.7,12.5,352.8,2811.1,2705.1
2025-01-14T10:00:00Z,7,FRA,FRA 85,Lunven,Nicolas,04°19.30'N,4.321666717529297,29°28.04'W,-29.46733283996582,345,15.5,12.4,7.7,350,14.8,12.6,59.2,359,14.3,13.4,343.7,2942,2836
2025-01-14T10:00:00Z,8,SUI,FRA 08,Mettraux,Justine,02°12.79'N,2.2131667137145996,29°39.63'W,-29.660499572753906,360,19.6,18.3,9.8,4,20.1,19.2,80.2,4,18.6,17.9,447.1,3064,2958
2025-01-14T10:00:00Z,9,FRA,FRA 59,Ruyant,Thomas,02°43.32'N,2.7219998836517334,31°43.09'W,-31.71816635131836,353,11,9.5,5.5,349,14.8,12.3,59.2,2,11.6,10.9,279.3,3082.4,2976.4
2025-01-14T10:00:00Z,10,GER,MON 1297,Herrmann,Boris,02°16.83'N,2.2804999351501465,33°00.12'W,-33.00199890136719,353,17.7,15.1,8.8,348,14.2,11.5,56.7,356,12.8,11.5,307.9,3137.6,3031.6
2025-01-14T10:00:00Z,11,FRA,FRA 09,Dutreux,Benjamin,07°11.02'S,-7.183666706085205,30°11.24'W,-30.187334060668945,359,24.3,22.8,24.3,358,22.8,21.3,91,352,19.1,17.4,458.9,3605.1,3499.1
